Collection Handle,Collection Title,Product Handle,Product Title,Archived URL,Timestamp
brushes,Care,JLGBrush_Wax2.jpg,,https://joesventure.com/collections/brushes,20230531012104
cane,CÁNE,bundle-c,Gift Bundle C,https://joesventure.com/collections/cane,20250807214444
cane,CÁNE,traveler-essentials-bundle,Traveler Essentials Bundle,https://joesventure.com/collections/cane,20250807214444
cane,CÁNE,business-essentials-bundle,Business Essentials Bundle,https://joesventure.com/collections/cane,20250807214444
cane,CÁNE,no-1,CÁNE No.1 - Le Carré,https://joesventure.com/collections/cane,20250807214444
cane,CÁNE,no-2,CÁNE No.2 - La Promenade,https://joesventure.com/collections/cane,20250807214444
cane,CÁNE,no-3,CÁNE No.3 - Le Voyageur,https://joesventure.com/collections/cane,20250807214444
cane,CÁNE,clutch,CÁNE No.4 - La Nuit,https://joesventure.com/collections/cane,20250807214444
commander,Commander,the-vancouver-messenger-bag,The Vancouver Messenger Bag,https://joesventure.com/collections/commander,20230322183853
commander,Commander,hook-keychain,Hook Keychain,https://joesventure.com/collections/commander,20230322183853
commander,Commander,the-jlg-brass-leather-belt,The JLG  Brass Leather Belt,https://joesventure.com/collections/commander,20230322183853
commander,Commander,passport-cover,Passport Cover,https://joesventure.com/collections/commander,20230322183853
commander,Commander,the-jlg-trifold-wallet,The JLG Trifold Wallet,https://joesventure.com/collections/commander,20230322183853
commander,Commander,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/commander,20230322183853
commander,Commander,joes-nappa-perfecto,Lamb Napa - Man Perfecto,https://joesventure.com/collections/commander,20230322183853
commander,Commander,JLGBatch_C_32.jpg,,https://joesventure.com/collections/commander,20230322183853
commander,Commander,JLGLast30.jpg,,https://joesventure.com/collections/commander,20230322183853
commander,Commander,JLGBatch_B_88.jpg,,https://joesventure.com/collections/commander,20230322183853
commander,Commander,JLGLast14.jpg,,https://joesventure.com/collections/commander,20230322183853
commander,Commander,JLG1.jpg,,https://joesventure.com/collections/commander,20230322183853
commander,Commander,IMG_4228.jpg,,https://joesventure.com/collections/commander,20230322183853
commander,Commander,IMG_4064ftg.jpg,,https://joesventure.com/collections/commander,20230322183853
eclipse,The Eclipse Pebbled Collection,bundle-c,Gift Bundle C,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,traveler-essentials-bundle,Traveler Essentials Bundle,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,business-essentials-bundle,Business Essentials Bundle,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,the-paratrooper-bag,The Paratrooper bag,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-toiletry-bag,Eclipse Pebbled Toiletry Bag,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-large-box-bag,Eclipse Pebbled Leather Large Box 30L Bag,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-zipped-laptop-sleeve,Eclipse Pebbled Leather Zipped Laptop Sleeve,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-boot-cleaner,Eclipse Pebbled Leather Boot Cleaner,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-fanny-pack,Eclipse Pebbled Leather Fanny Pack,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-college-backpack,Eclipse Pebbled College Backpack,https://joesventure.com/collections/eclipse,20250210155324
eclipse,The Eclipse Pebbled Collection,eclipse-pebbled-business-duffle-carryon,Eclipse Pebbled Leather Business Duffle Carry-On,https://joesventure.com/collections/eclipse,20250210155324
explorer,Explorer,the-explorer-bag,The Explorer Bag,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,hook-keychain,Hook Keychain,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,the-jlg-brass-leather-belt,The JLG  Brass Leather Belt,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,the-a5-analog,The A5 Analog,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,JLGBatch_C_27.jpg,,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,JLGLast30.jpg,,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,JLGBatch_B_88.jpg,,https://joesventure.com/collections/explorer,20230322190846
explorer,Explorer,JLGLast22.jpg,,https://joesventure.com/collections/explorer,20230322190846
for-her,FOR HER,bundle-c,Gift Bundle C,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,traveler-essentials-bundle,Traveler Essentials Bundle,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,business-essentials-bundle,Business Essentials Bundle,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,macbook-sleeve,Macbook Sleeve,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,shades-cover,Shades cover,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,la-pochetter,La Pochette,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,jlg-giza-tote-bag,The Giza Tote Bag,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,travellers-notebook,Travellers notebook,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,passport-cover,Passport Cover,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,laptop-bag,Laptop Bag,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,the-himalaya-duffle-bag,The Himalaya Duffle Bag,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,leather-apron,Leather Apron,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,nomad-fanny-pack,Nomad fanny pack,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,JLGBatch_C_73.jpg,,https://joesventure.com/collections/for-her,20250210152238
for-her,FOR HER,JLGBatch_C_68.jpg,,https://joesventure.com/collections/for-her,20250210152238
frontpage,Bestsellers,tobacco-pouch,Tobacco Pouch,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,jlg-giza-tote-bag,The Giza Tote Bag,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,the-explorer-bag,The Explorer Bag,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,the-jlg-city-bag,City Bag,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,the-jlg-a6-analog,The JLG A6 Analog,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,joes-nappa-perfecto,Lamb Napa - Man Perfecto,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,JLGBatch_B_72.jpg,,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,JLGBatch_C_18_a74c7a62-1f5f-4928-8bbc-d798f3dd4349.jpg,,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,JLGBatch_C_42.jpg,,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,JLGBatch_C_27.jpg,,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,JLGBatch_C_94.jpg,,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,JLGLast12copyxx.jpg,,https://joesventure.com/collections/frontpage,20230322201610
frontpage,Bestsellers,IMG_4064ftg.jpg,,https://joesventure.com/collections/frontpage,20230322201610
gift-bundles,Gift Bundles,bundle-c,Gift Bundle C,https://joesventure.com/collections/gift-bundles,20240518072615
gift-bundles,Gift Bundles,bundle-b,Gift Bundle B,https://joesventure.com/collections/gift-bundles,20240518072615
gift-bundles,Gift Bundles,bundle-a,Gift Bundle A,https://joesventure.com/collections/gift-bundles,20240518072615
gift-bundles,Gift Bundles,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/gift-bundles,20240518072615
jackets,Jackets,lamb-napa-woman-cafe-racer,Lamb Napa Woman Cafe Racer,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,cow-suede-ranger-jacket,Cow Suede Ranger jacket,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,waxed-baby-buffalo-aviator-jacket,Waxed Baby Buffalo Aviator Jacket,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,lamb-napa-aviator-jacket,Lamb Napa - Aviator Jacket,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,waxed-natural-cowhide-man-perfecto,Waxed Natural baby buffalo Leather  - Man Perfecto,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,lamb-napa-denim-cut-jacket,Lamb Napa - Denim Cut Jacket,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,lamb-napa-cafe-racer,Lamb Napa Man Cafe Racer,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,lamb-napa-lapel,Lamb Napa Lapel,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,joes-nappa-perfecto,Lamb Napa - Man Perfecto,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4064d.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4737-2.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4853x_24d9967a-4b3a-4d3f-93fc-ff8431dcae49.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4591.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4401.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,4Z5A0781.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,JLGJackets_C_12.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4254.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4228.jpg,,https://joesventure.com/collections/jackets,20230322181056
jackets,Jackets,IMG_4064ftg.jpg,,https://joesventure.com/collections/jackets,20230322181056
last-run,Last Run,barrel-bag,Barrel Bag,https://joesventure.com/collections/last-run,20241212010122
last-run,Last Run,lite-pro,Lite Pro,https://joesventure.com/collections/last-run,20241212010122
last-run,Last Run,pro-tote,Pro Tote,https://joesventure.com/collections/last-run,20241212010122
last-run,Last Run,the-business-lite,The Business Lite,https://joesventure.com/collections/last-run,20241212010122
last-run,Last Run,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/last-run,20241212010122
limited-drops,Limited Drops,bundle-c,Gift Bundle C,https://joesventure.com/collections/limited-drops,20250210154323
limited-drops,Limited Drops,traveler-essentials-bundle,Traveler Essentials Bundle,https://joesventure.com/collections/limited-drops,20250210154323
limited-drops,Limited Drops,business-essentials-bundle,Business Essentials Bundle,https://joesventure.com/collections/limited-drops,20250210154323
lone-wolf,Lone Wolf,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,hook-keychain,Hook Keychain,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,the-jlg-brass-leather-belt,The JLG  Brass Leather Belt,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,the-jlg-v2-wallet,The JLG V2 Wallet,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,waxed-baby-buffalo-aviator-jacket,Waxed Baby Buffalo Aviator Jacket,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,lamb-napa-lapel,Lamb Napa Lapel,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,JLGBatch_C_36.jpg,,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,JLGLast30.jpg,,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,JLGBatch_B_88.jpg,,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,JLGBatch_B_22.jpg,,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,IMG_4853x_24d9967a-4b3a-4d3f-93fc-ff8431dcae49.jpg,,https://joesventure.com/collections/lone-wolf,20230322193121
lone-wolf,Lone Wolf,IMG_4254.jpg,,https://joesventure.com/collections/lone-wolf,20230322193121
outdoor,Outdoor & Adventure,leather-stool,Leather Walk Stool,https://joesventure.com/collections/outdoor,20240518064553
outdoor,Outdoor & Adventure,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/outdoor,20240518064553
scout,Scout,,,https://joesventure.com/collections/scout?page=2,20230322181606
stationery,Stationery,,,https://joesventure.com/collections/stationery,20240518060159
summer,Summer,tobacco-pouch,Tobacco Pouch,https://joesventure.com/collections/summer,20231201063833
summer,Summer,jlg-giza-tote-bag,The Giza Tote Bag,https://joesventure.com/collections/summer,20231201063833
summer,Summer,the-jlg-brass-leather-belt,The JLG  Brass Leather Belt,https://joesventure.com/collections/summer,20231201063833
summer,Summer,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/summer,20231201063833
summer,Summer,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/summer,20231201063833
summer,Summer,the-himalaya-duffle-bag,The Himalaya Duffle Bag,https://joesventure.com/collections/summer,20231201063833
summer,Summer,the-jlg-city-bag,City Bag,https://joesventure.com/collections/summer,20231201063833
summer,Summer,apple-watch-strap,Apple Watch Strap,https://joesventure.com/collections/summer,20231201063833
summer,Summer,la-pochetter,La Pochette,https://joesventure.com/collections/summer,20231201063833
summer,Summer,passport-cover,Passport Cover,https://joesventure.com/collections/summer,20231201063833
summer,Summer,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_B_72.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_42.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_B_87.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_18_a74c7a62-1f5f-4928-8bbc-d798f3dd4349.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_36.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLG_Batch_C_50.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_94.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGLast2.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGLast11.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGLast14.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_B_73.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_43.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_B_88.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_19.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_37.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_50.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGBatch_C_95.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGLast5.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGLast9.jpg,,https://joesventure.com/collections/summer,20231201063833
summer,Summer,JLGLast15.jpg,,https://joesventure.com/collections/summer,20231201063833
summer-04-for-her,Summer 24 for her,the-shoreline,The Shoreline,https://joesventure.com/collections/summer-04-for-her,20240719025227
summer-04-for-her,Summer 24 for her,the-coquin,The Coquina,https://joesventure.com/collections/summer-04-for-her,20240719025227
summer-04-for-her,Summer 24 for her,the-sandy,The Sandy,https://joesventure.com/collections/summer-04-for-her,20240719025227
summer-04-for-her,Summer 24 for her,the-coral,The Coral,https://joesventure.com/collections/summer-04-for-her,20240719025227
summer-04-for-her,Summer 24 for her,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/summer-04-for-her,20240719025227
the-heritage-collection,THE HERITAGE COLLECTION,jlg-giza-tote-bag,The Giza Tote Bag,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-vancouver-messenger-bag,The Vancouver Messenger Bag,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-jlg-bifold-wallet,The JLG Bifold Wallet,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,macbook-sleeve,Macbook Sleeve,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-himalaya-duffle-bag,The Himalaya Duffle Bag,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-jlg-city-bag,City Bag,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-a5-analog,The A5 Analog,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-jlg-a6-analog,The JLG A6 Analog,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,clipper-fold-wallet,The JLG Clipper Fold Wallet,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,la-pochetter,La Pochette,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-jlg-cardholder,The JLG Cardholder,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-jlg-trifold-wallet,The JLG Trifold Wallet,https://joesventure.com/collections/the-heritage-collection,20231201073837
the-heritage-collection,THE HERITAGE COLLECTION,the-jlg-bifold-rever,The JLG Bifold Rever,https://joesventure.com/collections/the-heritage-collection,20231201073837
