Handle,Original Image Src,Hosted Image Src,Local Path,Bytes,Status,Fetch Source,Error
buck-brown-pull-up-buttoned-perfecto-size-52,https://joesventure.com/cdn/shop/files/024.jpg?v=1720801547&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/buck-brown-pull-up-buttoned-perfecto-size-52-01-09f188c060.jpg,backend/public/assets/recovery/joes-venture/images/buck-brown-pull-up-buttoned-perfecto-size-52-01-09f188c060.jpg,197233,downloaded,cached,
buck-brown-waxed-baby-buffalo-vegtan-perfecto-size-56,https://joesventure.com/cdn/shop/files/032.jpg?v=1720803104&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
buffed-varnish-cow-suit-jacket,https://joesventure.com/cdn/shop/files/BUFFEDVARNISHCOWSUIYJACKET_0ae5bd73-34f3-450a-b677-50805c967de3.png?v=1738679310&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/buffed-varnish-cow-suit-jacket-01-3b49d8948c.png,backend/public/assets/recovery/joes-venture/images/buffed-varnish-cow-suit-jacket-01-3b49d8948c.png,1921711,downloaded,cached,
bundle-a,https://joesventure.com/cdn/shop/files/SNY07742.jpg?v=1714414175&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/bundle-a-01-a3352aa69b.jpg,backend/public/assets/recovery/joes-venture/images/bundle-a-01-a3352aa69b.jpg,68909,downloaded,cached,
bundle-b,https://joesventure.com/cdn/shop/files/SNY07740.jpg?v=1714414607&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/bundle-b-01-cf6d866d91.jpg,backend/public/assets/recovery/joes-venture/images/bundle-b-01-cf6d866d91.jpg,195531,downloaded,cached,
bundle-c,https://joesventure.com/cdn/shop/files/SNY07738.jpg?v=1714415266&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/bundle-c-01-ccdcce4b25.jpg,backend/public/assets/recovery/joes-venture/images/bundle-c-01-ccdcce4b25.jpg,267980,downloaded,cached,
burgundy-lamb-nappa-denim-cut-size-56,https://joesventure.com/cdn/shop/files/0_6f5c3061-a209-4a61-9a7d-7cb953ebd21c.jpg?v=1720789436&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
burgundy-lamb-nappa-perfecto-size-46,https://joesventure.com/cdn/shop/files/05.jpg?v=1720790003&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/burgundy-lamb-nappa-perfecto-size-46-01-690381d636.jpg,backend/public/assets/recovery/joes-venture/images/burgundy-lamb-nappa-perfecto-size-46-01-690381d636.jpg,420533,downloaded,cached,
burgundy-lamb-nappa-pilot-size-46,https://joesventure.com/cdn/shop/files/08.jpg?v=1720790754&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/burgundy-lamb-nappa-pilot-size-46-01-a349be0da3.jpg,backend/public/assets/recovery/joes-venture/images/burgundy-lamb-nappa-pilot-size-46-01-a349be0da3.jpg,163500,downloaded,cached,
burgundy-nappa-aviator,https://joesventure.com/cdn/shop/files/BurgundyNapaAviator_c8d37a04-dee4-4606-828e-4ba60b180e02.png?v=1738675108&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/burgundy-nappa-aviator-01-87663b84f7.png,backend/public/assets/recovery/joes-venture/images/burgundy-nappa-aviator-01-87663b84f7.png,1861861,downloaded,cached,
burgundy-nappa-cafe-racer,https://joesventure.com/cdn/shop/files/BURGUNDYNAPPACAFERACER_e63e1b86-a543-4125-9915-c7f076e8ee6b.png?v=1738687894&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
burgundy-nappa-cafe-racer,https://joesventure.com/cdn/shop/files/BURGUNDYNAPPACAFERACER_e63e1b86-a543-4125-9915-c7f076e8ee6b.png?v=1738687894,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
burgundy-nappa-suit-like-jacket,https://joesventure.com/cdn/shop/files/BURGUNDYNAPPASUITLIKEJACKET_fd51b7b6-42fb-4ba9-9185-e5de2c9cdcfc.png?v=1738687224&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
burnt-brown-waxed-baby-buffalo-aviator,https://joesventure.com/cdn/shop/files/Untitled-210.jpg?v=1720444913&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/burnt-brown-waxed-baby-buffalo-aviator-01-0f58d39273.jpg,backend/public/assets/recovery/joes-venture/images/burnt-brown-waxed-baby-buffalo-aviator-01-0f58d39273.jpg,125296,downloaded,cached,
business-essentials-bundle,https://joesventure.com/cdn/shop/files/BusinessBundle.png?v=1734627045&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/business-essentials-bundle-01-db2e1656d3.png,backend/public/assets/recovery/joes-venture/images/business-essentials-bundle-01-db2e1656d3.png,1441225,downloaded,cached,
business-essentials-bundle,https://joesventure.com/cdn/shop/files/BusinessBundle2.png?v=1734627045&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/business-essentials-bundle-02-8cd97ffc51.png,backend/public/assets/recovery/joes-venture/images/business-essentials-bundle-02-8cd97ffc51.png,34009,downloaded,cached,
business-essentials-bundle,https://joesventure.com/cdn/shop/files/BusinessBundle3.png?v=1734627045&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/business-essentials-bundle-03-49b6f2c5cf.png,backend/public/assets/recovery/joes-venture/images/business-essentials-bundle-03-49b6f2c5cf.png,6315,downloaded,cached,
business-essentials-bundle,https://joesventure.com/cdn/shop/files/BusinessBundle.png?v=1734627045,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/business-essentials-bundle-04-3db8b230a1.png,backend/public/assets/recovery/joes-venture/images/business-essentials-bundle-04-3db8b230a1.png,1441225,downloaded,cached,
business-essentials-bundle,https://joesventure.com/cdn/shop/files/BusinessBundle2.png?v=1734627045,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/business-essentials-bundle-05-5805f4710f.png,backend/public/assets/recovery/joes-venture/images/business-essentials-bundle-05-5805f4710f.png,289798,downloaded,cached,
business-essentials-bundle,https://joesventure.com/cdn/shop/files/BusinessBundle3.png?v=1734627045,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/business-essentials-bundle-06-aa271960df.png,backend/public/assets/recovery/joes-venture/images/business-essentials-bundle-06-aa271960df.png,287467,downloaded,cached,
canvas-pencil-case,https://joesventure.com/cdn/shop/files/SNY09108.jpg?v=1716723075&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/canvas-pencil-case-01-0405addef9.jpg,backend/public/assets/recovery/joes-venture/images/canvas-pencil-case-01-0405addef9.jpg,109147,downloaded,cached,
canvas-pencil-case,https://joesventure.com/cdn/shop/files/SNY09100.jpg?v=1716723090,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/canvas-pencil-case-02-ffd4405fa6.jpg,backend/public/assets/recovery/joes-venture/images/canvas-pencil-case-02-ffd4405fa6.jpg,495547,downloaded,cached,
canvas-pencil-case,https://joesventure.com/cdn/shop/files/SNY09108.jpg?v=1716723075,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/canvas-pencil-case-03-af9b5367ab.jpg,backend/public/assets/recovery/joes-venture/images/canvas-pencil-case-03-af9b5367ab.jpg,537906,downloaded,cached,
clipper-fold-wallet,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGBatch_B_12.jpg?v=1653832431&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
clutch,https://joesventure.com/cdn/shop/files/CANE_1_LAID_DOWN.png?v=1750341181&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
cow-nubuck-buttoned-jacket,https://joesventure.com/cdn/shop/files/CowNubockButtonedJacket.png?v=1738854645&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/cow-nubuck-buttoned-jacket-01-1369384429.png,backend/public/assets/recovery/joes-venture/images/cow-nubuck-buttoned-jacket-01-1369384429.png,1694535,downloaded,cached,
cow-suede-ranger-jacket,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/IMG_4737-2.jpg?v=1666186023&width=1024,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
cracked-cow-classic-202,https://joesventure.com/cdn/shop/files/CRACKEDCOWCLASSIC202_15e919ec-2152-46b5-88bf-ebbc15f774b1.png?v=1738687402&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/cracked-cow-classic-202-01-86cf384fe0.png,backend/public/assets/recovery/joes-venture/images/cracked-cow-classic-202-01-86cf384fe0.png,1719834,downloaded,cached,
cropped-bustier-34-b,https://joesventure.com/cdn/shop/files/CROPPEDBUSTIER34-B_d3594897-bd8f-4203-bdb5-4d346d3564c8.png?v=1738680990&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
cropped-bustier-sans-bretelle,https://joesventure.com/cdn/shop/files/CROPPEDBUSTIERSANSBRETELLE_68f9679b-5a1c-4cfd-a54f-53326613a3a7.png?v=1738684276&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
cropped-cafe-racer-oil-tanned-baby-buffalo,https://joesventure.com/cdn/shop/files/CroppedCAFERACEROILTANNEDBABYBUFFALO_a0d72179-fa03-465f-9c93-d0aaa9040513.png?v=1738678687&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
dark-blue-denim-cut-vest,https://joesventure.com/cdn/shop/files/DARKVLUEDENIMCUTVESTVINTAGEBUTTONS_55d57da2-e589-4472-9e1d-595902f5445b.png?v=1738681309&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/dark-blue-denim-cut-vest-01-4f5adca925.png,backend/public/assets/recovery/joes-venture/images/dark-blue-denim-cut-vest-01-4f5adca925.png,1389594,downloaded,cached,
dark-blue-suede-denim-cut,https://joesventure.com/cdn/shop/files/DARKBLUESUEIDEDENIMCUTJACKET_5b4ba31c-94e1-4126-ac8b-73f883f7b86c.png?v=1738679608&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
diwan-coaster,https://joesventure.com/cdn/shop/files/Untitled-91_70c4d8bd-2429-4e3b-b40b-27b0d8e897d0.png?v=1738708188&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
eclipse-pebbled-boot-cleaner,https://joesventure.com/cdn/shop/files/Untitled-89copy.png?v=1738713740&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
eclipse-pebbled-boot-cleaner,https://joesventure.com/cdn/shop/files/Untitled-89copy.png?v=1738713740,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
eclipse-pebbled-business-duffle-carryon,https://joesventure.com/cdn/shop/files/Untitled-153.png?v=1738713947&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-business-duffle-carryon-01-880eec8d36.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-business-duffle-carryon-01-880eec8d36.png,1316408,downloaded,cached,
eclipse-pebbled-business-duffle-carryon,https://joesventure.com/cdn/shop/files/Untitled-153.png?v=1738713947,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-business-duffle-carryon-02-ce1791b675.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-business-duffle-carryon-02-ce1791b675.png,1316408,downloaded,cached,
eclipse-pebbled-college-backpack,https://joesventure.com/cdn/shop/files/Untitled-142copy.png?v=1738714593&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-college-backpack-01-59cddc5918.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-college-backpack-01-59cddc5918.png,1704313,downloaded,cached,
eclipse-pebbled-college-backpack,https://joesventure.com/cdn/shop/files/Untitled-142copy.png?v=1738714593,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-college-backpack-02-0634c2aba9.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-college-backpack-02-0634c2aba9.png,1704313,downloaded,cached,
eclipse-pebbled-fanny-pack,https://joesventure.com/cdn/shop/files/Untitled-146copy.png?v=1738714736&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-fanny-pack-01-b61581b751.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-fanny-pack-01-b61581b751.png,1072912,downloaded,cached,
eclipse-pebbled-fanny-pack,https://joesventure.com/cdn/shop/files/Untitled-146copy.png?v=1738714736,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-fanny-pack-02-431c30169e.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-fanny-pack-02-431c30169e.png,1072912,downloaded,cached,
eclipse-pebbled-large-box-bag,https://joesventure.com/cdn/shop/files/Untitled-149copy.png?v=1738714452&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-large-box-bag-01-58f1e2a3dc.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-large-box-bag-01-58f1e2a3dc.png,1665145,downloaded,cached,
eclipse-pebbled-large-box-bag,https://joesventure.com/cdn/shop/files/Untitled-149copy.png?v=1738714452,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-large-box-bag-02-e302238944.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-large-box-bag-02-e302238944.png,1665145,downloaded,cached,
eclipse-pebbled-toiletry-bag,https://joesventure.com/cdn/shop/files/Untitled-97copy.png?v=1738712216&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-toiletry-bag-01-eca08504f0.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-toiletry-bag-01-eca08504f0.png,842729,downloaded,cached,
eclipse-pebbled-toiletry-bag,https://joesventure.com/cdn/shop/files/Untitled-97copy.png?v=1738712216,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/eclipse-pebbled-toiletry-bag-02-473af46f49.png,backend/public/assets/recovery/joes-venture/images/eclipse-pebbled-toiletry-bag-02-473af46f49.png,842729,downloaded,cached,
eclipse-pebbled-zipped-laptop-sleeve,https://joesventure.com/cdn/shop/files/Untitled-94copy.png?v=1738714192&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
eclipse-pebbled-zipped-laptop-sleeve,https://joesventure.com/cdn/shop/files/Untitled-94copy.png?v=1738714192,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
elastic-set,https://joesventure.com/cdn/shop/files/SNY09573.jpg?v=1720785180&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
fly-swatter,https://joesventure.com/cdn/shop/files/SNY09134.jpg?v=1716723859&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/fly-swatter-01-6c6efff476.jpg,backend/public/assets/recovery/joes-venture/images/fly-swatter-01-6c6efff476.jpg,87128,downloaded,cached,
fly-swatter,https://joesventure.com/cdn/shop/files/SNY09144.jpg?v=1716723859,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/fly-swatter-02-306ac98827.jpg,backend/public/assets/recovery/joes-venture/images/fly-swatter-02-306ac98827.jpg,378665,downloaded,cached,
fly-swatter,https://joesventure.com/cdn/shop/files/SNY09134.jpg?v=1716723859,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/fly-swatter-03-8e9827dbe6.jpg,backend/public/assets/recovery/joes-venture/images/fly-swatter-03-8e9827dbe6.jpg,392550,downloaded,cached,
fly-swatter,https://joesventure.com/cdn/shop/files/SNY09139.jpg?v=1716723859,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/fly-swatter-04-ea565cf253.jpg,backend/public/assets/recovery/joes-venture/images/fly-swatter-04-ea565cf253.jpg,405600,downloaded,cached,
green-lamb-nappa-aviator,https://joesventure.com/cdn/shop/files/Untitled-225.jpg?v=1720448982&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/green-lamb-nappa-aviator-01-404b68e66e.jpg,backend/public/assets/recovery/joes-venture/images/green-lamb-nappa-aviator-01-404b68e66e.jpg,325796,downloaded,cached,
green-nappa-perfecto,https://joesventure.com/cdn/shop/files/084.jpg?v=1720438371&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
green-nappa-perfecto-1,https://joesventure.com/cdn/shop/files/GreenNappaPErfecto_2c4b6b6c-30f3-4385-bdfe-03d0da8c4f3f.png?v=1738672170&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
hardcover-notebook,https://joesventure.com/cdn/shop/files/rn-image_picker_lib_temp_f919793d-c0f7-4fbd-91fe-ec645608a83f.jpg?v=1715351298&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
hook-keychain,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGLast30.jpg?v=1654638490&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
jlg-giza-tote-bag,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGBatch_C_42.jpg?v=1654170554&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/jlg-giza-tote-bag-01-1a909b8cd2.jpg,backend/public/assets/recovery/joes-venture/images/jlg-giza-tote-bag-01-1a909b8cd2.jpg,189846,downloaded,cached,
joe-s-leather-balm™,https://joesventure.com/cdn/shop/products/JLGBrush_Wax1.jpg?v=1655985978&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/joe-s-leather-balm-01-7a507dce97.jpg,backend/public/assets/recovery/joes-venture/images/joe-s-leather-balm-01-7a507dce97.jpg,86428,downloaded,cached,
joes-nappa-perfecto,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/IMG_4064ftg.jpg?v=1665560303&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/joes-nappa-perfecto-01-f670f73833.jpg,backend/public/assets/recovery/joes-venture/images/joes-nappa-perfecto-01-f670f73833.jpg,1340768,downloaded,cached,
la-pochetter,https://joesventure.com/cdn/shop/products/JLGLast11.jpg?v=1654638203&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/la-pochetter-01-868bbabd68.jpg,backend/public/assets/recovery/joes-venture/images/la-pochetter-01-868bbabd68.jpg,113786,downloaded,cached,
la-pochetter,https://joesventure.com/cdn/shop/products/JLGLast11.jpg?v=1654638203,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/la-pochetter-02-47a560ec6b.jpg,backend/public/assets/recovery/joes-venture/images/la-pochetter-02-47a560ec6b.jpg,1385841,downloaded,cached,
la-pochetter,https://joesventure.com/cdn/shop/products/JLGLast9.jpg?v=1654638203,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/la-pochetter-03-1a4fc58945.jpg,backend/public/assets/recovery/joes-venture/images/la-pochetter-03-1a4fc58945.jpg,1289001,downloaded,cached,
la-pochetter,https://joesventure.com/cdn/shop/products/JLGLast10.jpg?v=1654638203,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/la-pochetter-04-923acc5b71.jpg,backend/public/assets/recovery/joes-venture/images/la-pochetter-04-923acc5b71.jpg,1214392,downloaded,cached,
lamb-napa-aviator-jacket,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/IMG_4591.jpg?v=1665560202&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
lamb-napa-cafe-racer,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGJackets_C_12.jpg?v=1654169359&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
